252	0.00001383	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: BE 	
253	0.00004211	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: RXABORT RXCLEAR	
254	0.00001627	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: TXABORT TXCLEAR 	
255	0.00093036	ProControl.exe	IRP_MJ_WRITE	Serial0	SUCCESS	Length 11: AA AA 01 00 00 01 01 00 00 01 57 	
256	0.00004763	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
257	0.00002410	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: AA 	
258	0.00003045	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
259	0.00001760	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: AA 	
260	0.00002815	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
261	0.00001767	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
262	0.00002898	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
263	0.00001767	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 01 	
